id,employee_id,department,performance_score,years_with_company,salary
1,1,Human Resources,10.99,10,955.32
2,2,Legal,37.73,2,1645.34
3,3,Accounting,43.75,2,2484.49
4,4,Research and Development,58.7,19,1769.48
5,5,Engineering,39.01,12,1430.87
6,6,Support,53.58,1,933.27
7,7,Support,22.9,13,577.48
8,8,Sales,64.39,13,1197.97
9,9,Legal,15.29,7,2174.82
10,10,Sales,40.72,16,499.5
11,11,Marketing,92.78,12,772.3
12,12,Marketing,68.6,13,1417.3
13,13,Support,85.9,5,2139.55
14,14,Legal,83.83,16,636.52
15,15,Accounting,81.58,18,536.2
16,16,Services,41.01,15,2112.52
17,17,Human Resources,96.62,2,1548.76
18,18,Research and Development,46.43,1,2918.01
19,19,Services,44.14,15,1113.14
20,20,Business Development,36.09,5,578.34
21,21,Marketing,72.95,3,2228.86
22,22,Engineering,3.93,5,1239.1
23,23,Business Development,53.9,9,616.7
24,24,Legal,86.1,11,1189.63
25,25,Human Resources,21.42,18,595.02
26,26,Services,41.66,2,1339.49
27,27,Engineering,54.79,7,502.44
28,28,Research and Development,57.02,9,1890.21
29,29,Support,30.71,16,1431.17
30,30,Research and Development,26.84,11,2969.63
31,31,Legal,90.83,18,1272.69
32,32,Support,36.33,7,509.15
33,33,Human Resources,35.37,20,2073.52
34,34,Product Management,73.52,4,466.25
35,35,Human Resources,76.58,12,1322.0
36,36,Support,5.02,6,790.42
37,37,Marketing,75.06,12,717.95
38,38,Product Management,8.07,7,2865.06
39,39,Business Development,62.55,3,1100.66
40,40,Services,56.33,4,1198.57
41,41,Training,9.4,3,2702.5
42,42,Support,16.49,19,698.86
43,43,Sales,24.65,12,1887.54
44,44,Business Development,3.38,18,2967.35
45,45,Business Development,19.13,2,2378.2
46,46,Engineering,47.78,17,1271.55
47,47,Marketing,27.86,13,502.97
48,48,Product Management,69.14,2,2829.77
49,49,Research and Development,20.54,1,1641.17
50,50,Engineering,24.19,13,1671.43
51,51,Services,59.5,13,1720.99
52,52,Human Resources,97.35,15,2579.08
53,53,Business Development,97.51,15,1179.1
54,54,Legal,71.42,13,1638.3
55,55,Legal,58.98,5,526.32
56,56,Human Resources,26.88,4,908.34
57,57,Sales,36.18,4,2126.4
58,58,Legal,27.43,6,1087.52
59,59,Research and Development,4.36,10,2307.52
60,60,Human Resources,24.65,15,481.48
61,61,Sales,83.56,7,882.8
62,62,Support,67.28,12,1228.6
63,63,Product Management,19.3,5,879.25
64,64,Product Management,38.84,8,1860.27
65,65,Engineering,11.28,10,2616.15
66,66,Engineering,76.94,20,2779.94
67,67,Research and Development,17.73,2,618.19
68,68,Engineering,14.4,15,1934.06
69,69,Marketing,98.9,7,1787.26
70,70,Services,36.7,11,2885.75
71,71,Human Resources,70.45,19,589.08
72,72,Product Management,8.5,15,682.71
73,73,Engineering,25.05,15,1377.91
74,74,Accounting,79.38,4,2038.62
75,75,Engineering,73.83,9,2401.09
76,76,Human Resources,21.42,3,1491.21
77,77,Sales,67.76,20,2978.85
78,78,Engineering,28.41,15,2160.53
79,79,Training,38.45,13,2549.55
80,80,Training,56.92,7,1561.03
81,81,Marketing,85.64,11,1972.35
82,82,Research and Development,48.52,10,924.68
83,83,Engineering,56.53,2,663.43
84,84,Marketing,99.08,4,621.17
85,85,Services,44.22,3,531.86
86,86,Legal,66.08,1,2398.82
87,87,Services,16.4,3,1229.54
88,88,Product Management,75.42,12,1696.29
89,89,Business Development,93.21,3,507.81
90,90,Engineering,15.59,3,2417.96
91,91,Services,18.22,1,635.17
92,92,Legal,97.97,20,2266.49
93,93,Engineering,77.82,16,869.46
94,94,Sales,17.32,1,1768.11
95,95,Legal,35.19,15,2049.65
96,96,Business Development,87.07,3,1048.27
97,97,Training,13.09,14,2578.4
98,98,Engineering,26.65,7,1933.55
99,99,Training,50.04,16,1284.22
100,100,Engineering,93.1,7,2212.24
101,101,Research and Development,99.39,15,926.36
102,102,Business Development,10.96,14,749.03
103,103,Accounting,59.78,10,2957.81
104,104,Human Resources,42.44,7,2223.62
105,105,Research and Development,58.45,17,2179.58
106,106,Accounting,57.04,1,1510.76
107,107,Accounting,10.41,15,1349.42
108,108,Services,69.85,14,1894.82
109,109,Support,20.49,15,2031.04
110,110,Product Management,20.74,4,1258.88
111,111,Human Resources,67.0,20,2513.09
112,112,Human Resources,37.06,18,1817.61
113,113,Research and Development,61.15,19,2613.14
114,114,Legal,89.46,3,766.35
115,115,Engineering,8.89,20,2769.14
116,116,Support,67.11,20,570.51
117,117,Research and Development,10.53,13,1836.18
118,118,Sales,99.42,20,2379.95
119,119,Training,74.22,17,1045.49
120,120,Product Management,27.06,8,586.57
121,121,Legal,75.96,11,2680.12
122,122,Product Management,34.52,17,2371.43
123,123,Legal,33.02,1,2028.77
124,124,Sales,20.69,6,2760.65
125,125,Legal,68.63,8,1823.54
126,126,Business Development,55.23,4,1832.94
127,127,Legal,12.99,13,2435.66
128,128,Legal,69.92,3,1884.28
129,129,Accounting,30.96,9,2257.57
130,130,Product Management,65.36,14,541.36
131,131,Engineering,94.36,10,1829.44
132,132,Sales,49.03,7,1589.68
133,133,Human Resources,12.54,16,780.29
134,134,Human Resources,50.42,13,2665.22
135,135,Services,2.42,11,510.73
136,136,Product Management,60.96,10,655.53
137,137,Marketing,12.1,14,1958.33
138,138,Human Resources,25.29,4,1513.13
139,139,Sales,73.74,2,2118.28
140,140,Research and Development,40.76,16,751.02
141,141,Research and Development,41.06,3,2727.89
142,142,Product Management,73.26,5,2698.43
143,143,Services,44.7,9,1586.81
144,144,Engineering,87.1,9,2247.56
145,145,Services,44.51,10,2562.0
146,146,Support,83.41,5,490.5
147,147,Engineering,95.55,7,2109.73
148,148,Services,70.79,9,2649.48
149,149,Human Resources,89.16,4,2682.18
150,150,Services,25.36,3,1108.78
151,151,Product Management,55.36,6,2306.66
152,152,Business Development,32.67,10,1472.86
153,153,Services,70.11,6,1584.66
154,154,Research and Development,72.08,14,725.28
155,155,Legal,67.25,20,602.26
156,156,Support,65.3,2,1979.61
157,157,Sales,66.28,2,647.99
158,158,Support,58.35,1,1542.74
159,159,Accounting,50.08,19,1430.44
160,160,Legal,62.33,14,1942.83
161,161,Services,52.07,9,562.33
162,162,Training,10.29,2,1085.71
163,163,Training,95.15,2,2501.19
164,164,Marketing,20.48,2,1058.4
165,165,Sales,58.93,8,2795.37
166,166,Marketing,2.66,8,2311.35
167,167,Sales,93.01,3,2762.82
168,168,Services,39.61,18,2472.5
169,169,Engineering,27.89,1,2359.74
170,170,Support,79.44,2,2969.34
171,171,Engineering,90.67,5,1996.11
172,172,Services,72.54,20,2127.99
173,173,Business Development,95.46,5,1236.69
174,174,Marketing,5.33,6,1694.88
175,175,Engineering,67.88,2,2656.02
176,176,Sales,59.06,7,1143.96
177,177,Research and Development,34.51,11,2975.63
178,178,Business Development,53.19,15,462.72
179,179,Training,40.31,18,718.41
180,180,Sales,69.88,3,2259.74
181,181,Business Development,21.86,5,1266.37
182,182,Support,77.8,10,692.12
183,183,Product Management,97.59,6,681.02
184,184,Sales,16.19,20,1994.17
185,185,Engineering,70.51,3,2028.51
186,186,Product Management,40.84,10,1438.78
187,187,Sales,15.14,1,998.75
188,188,Marketing,51.46,17,2788.86
189,189,Research and Development,16.8,9,1241.05
190,190,Engineering,39.41,18,2897.92
191,191,Marketing,71.14,2,1135.22
192,192,Services,73.06,19,706.54
193,193,Legal,96.47,2,1231.92
194,194,Business Development,23.18,14,1258.37
195,195,Accounting,48.24,5,1009.09
196,196,Legal,17.03,13,1218.58
197,197,Sales,74.59,8,730.76
198,198,Business Development,16.11,3,2231.74
199,199,Marketing,11.67,2,1693.42
200,200,Accounting,19.5,19,786.12
201,201,Product Management,16.43,10,2023.73
202,202,Product Management,64.26,4,1701.25
203,203,Sales,50.48,1,1337.48
